rc_pool,flags,rc_sorted,mem_pool,mem_sorted,pc_update
32769,0,32769,0,290341444919459839,0
32768,18470,32769,26,1,57
32769,9235,32769,5198983563776458752,290341444919459839,0
32769,4617,32769,0,1,0
32769,2308,32769,0,290341444919459839,0
32769,1154,32769,52,1,3618502788666131213697322783095070105623107215331596699973092056135872020474
32769,577,32769,7,290341444919459839,0
32769,288,32769,91,1,0
32769,144,32769,0,290341444919459839,0
32765,72,32769,57,1,55
32769,36,32769,6,290341444919459839,0
32769,18,32769,0,1,0
32769,9,32769,0,290341444919459839,0
32769,4,32769,27,1,6
32769,2,32769,3618502788666131213697322783095070105623107215331596699973092056135872020480,290341444919459839,0
32769,1,32769,91,1,0
32769,0,32769,0,290341444919459839,0
32768,4356,32769,28,1,58
32769,2178,32769,1226245742482522112,290341444919459839,0
32769,1089,32769,0,1,0
32769,544,32769,0,290341444919459839,0
32769,272,32769,59,1,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32769,30,290341444919459839,0
32769,68,32769,91,1,0
32769,34,32769,0,290341444919459839,0
32769,17,32769,58,1,55
32769,8,32769,55,290341444919459839,0
32769,4,32769,0,1,0
32769,2,32769,0,290341444919459839,0
32769,1,32769,29,1,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32769,3618502788666131213697322783095070105623107215331596699973092056135872020473,290341444919459839,0
32769,0,32769,91,1,0
32769,0,32769,0,290341444919459839,0
32765,519,32769,20,1,60
32769,259,32769,146226256843603965,290341444919459839,0
32769,129,32769,0,1,6
32769,64,32769,0,290341444919459839,0
32769,32,32769,59,1,120
32769,16,32769,30,290341444919459839,0
32769,8,32769,91,1,0
32769,4,32769,0,290341444919459839,0
32767,2,32769,57,1,60
32769,1,32769,6,290341444919459839,0
32769,0,32769,0,1,1
32769,0,32769,0,290341444919459839,0
32769,0,32769,21,1,603083798111021868949553797182511684270517869221932783328848676022645336747
32769,0,32769,4,290341444919459839,0
32769,0,32769,91,1,0
32769,0,32769,0,290341444919459839,0
32768,18442,32769,24,1,60
32769,9221,32769,5191102242953854976,290341444919459839,0
32769,4610,32769,0,1,0
32769,2305,32769,0,290341444919459839,0
32764,1152,32769,59,2,240
32769,576,32769,30,0,0
32769,288,32769,91,2,0
32769,144,32769,0,0,0
32767,72,32769,60,3,60
32769,36,32769,8,1226245742482522112,0
32769,18,32769,0,3,0
32769,9,32769,0,1226245742482522112,0
32769,4,32769,56,4,8
32769,2,32769,8,4,0
32769,1,32769,91,4,0
32769,0,32769,0,4,0
32768,18474,32769,25,5,61
32769,9237,32769,5200109442208333824,74168662805676031,0
32769,4618,32769,0,5,0
32769,2309,32769,0,74168662805676031,0
32764,1154,32769,55,5,40
32769,577,32769,5,74168662805676031,0
32769,288,32769,91,5,0
32769,144,32769,0,74168662805676031,0
32763,72,32769,61,5,60
32769,36,32769,13,74168662805676031,0
32769,18,32769,0,5,0
32769,9,32769,0,74168662805676031,0
32769,4,32769,56,5,13
32769,2,32769,8,74168662805676031,0
32769,1,32769,91,5,0
32769,0,32769,0,74168662805676031,0
32768,18470,32769,26,5,62
32769,9235,32769,5198983563776458752,74168662805676031,0
32769,4617,32769,0,5,0
32769,2308,32769,0,74168662805676031,0
32769,1154,32769,57,5,3618502788666131213697322783095070105623107215331596699973092056135872020475
32769,577,32769,6,74168662805676031,0
32769,288,32769,91,5,0
32769,144,32769,0,74168662805676031,0
32765,72,32769,62,5,60
32769,36,32769,5,74168662805676031,0
32769,18,32769,0,5,0
32769,9,32769,0,74168662805676031,0
32769,4,32769,27,5,5
32769,2,32769,3618502788666131213697322783095070105623107215331596699973092056135872020480,74168662805676031,0
32769,1,32769,91,5,0
32769,0,32769,0,74168662805676031,0
32768,4356,32769,28,5,63
32769,2178,32769,1226245742482522112,74168662805676031,0
32769,1089,32769,0,5,0
32769,544,32769,0,74168662805676031,0
32769,272,32769,64,5,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32769,30,74168662805676031,0
32769,68,32769,91,5,0
32769,34,32769,0,74168662805676031,0
32769,17,32769,63,5,60
32769,8,32769,60,74168662805676031,0
32769,4,32769,0,5,0
32769,2,32769,0,74168662805676031,0
32769,1,32769,29,5,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32769,3618502788666131213697322783095070105623107215331596699973092056135872020473,74168662805676031,0
32769,0,32769,91,5,0
32769,0,32769,0,74168662805676031,0
32765,519,32769,20,5,65
32769,259,32769,146226256843603965,74168662805676031,0
32769,129,32769,0,5,5
32769,64,32769,0,74168662805676031,0
32769,32,32769,64,5,120
32769,16,32769,30,74168662805676031,0
32769,8,32769,91,5,0
32769,4,32769,0,74168662805676031,0
32767,2,32769,62,5,65
32769,1,32769,5,74168662805676031,0
32769,0,32769,0,5,1
32769,0,32769,0,74168662805676031,0
32769,0,32769,21,5,2894802230932904970957858226476056084498485772265277359978473644908697616385
32769,0,32769,4,74168662805676031,0
32769,0,32769,91,5,0
32769,0,32769,0,74168662805676031,0
32768,18442,32769,24,5,65
32769,9221,32769,5191102242953854976,74168662805676031,0
32769,4610,32769,0,5,0
32769,2305,32769,0,74168662805676031,0
32764,1152,32769,64,5,390
32769,576,32769,30,74168662805676031,0
32769,288,32769,91,5,0
32769,144,32769,0,74168662805676031,0
32767,72,32769,65,5,65
32769,36,32769,13,74168662805676031,0
32769,18,32769,0,5,0
32769,9,32769,0,74168662805676031,0
32769,4,32769,61,5,13
32769,2,32769,13,74168662805676031,0
32769,1,32769,91,5,0
32769,0,32769,0,74168662805676031,0
32768,18474,32769,25,5,66
32769,9237,32769,5200109442208333824,74168662805676031,0
32769,4618,32769,0,5,0
32769,2309,32769,0,74168662805676031,0
32764,1154,32769,60,5,104
32769,577,32769,8,74168662805676031,0
32769,288,32769,91,5,0
32769,144,32769,0,74168662805676031,0
32763,72,32769,66,5,65
32769,36,32769,21,74168662805676031,0
32769,18,32769,0,5,0
32769,9,32769,0,74168662805676031,0
32769,4,32769,61,5,21
32769,2,32769,13,74168662805676031,0
32769,1,32769,91,5,0
32769,0,32769,0,74168662805676031,0
32768,18470,32769,26,5,67
32769,9235,32769,5198983563776458752,74168662805676031,0
32769,4617,32769,0,5,0
32769,2308,32769,0,74168662805676031,0
32769,1154,32769,62,5,3618502788666131213697322783095070105623107215331596699973092056135872020476
32769,577,32769,5,74168662805676031,0
32769,288,32769,91,5,0
32769,144,32769,0,74168662805676031,0
32765,72,32769,67,5,65
32769,36,32769,4,74168662805676031,0
32769,18,32769,0,5,0
32769,9,32769,0,74168662805676031,0
32769,4,32769,27,5,4
32769,2,32769,3618502788666131213697322783095070105623107215331596699973092056135872020480,74168662805676031,0
32769,1,32769,91,5,0
32769,0,32769,0,74168662805676031,0
32768,4356,32769,28,5,68
32769,2178,32769,1226245742482522112,74168662805676031,0
32769,1089,32769,0,6,0
32769,544,32769,0,0,0
32769,272,32769,69,6,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32769,30,0,0
32769,68,32769,91,6,0
32769,34,32769,0,0,0
32769,17,32769,68,6,65
32769,8,32769,65,0,0
32769,4,32769,0,6,0
32769,2,32769,0,0,0
32769,1,32769,29,6,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32769,3618502788666131213697322783095070105623107215331596699973092056135872020473,0,0
32769,0,32769,91,6,0
32769,0,32769,0,0,0
32765,519,32769,20,6,70
32769,259,32769,146226256843603965,0,0
32769,129,32769,0,6,4
32769,64,32769,0,0,0
32769,32,32769,69,6,120
32769,16,32769,30,0,0
32769,8,32769,91,6,0
32769,4,32769,0,0,0
32767,2,32769,67,6,70
32769,1,32769,4,0,0
32769,0,32769,0,6,1
32769,0,32769,0,0,0
32769,0,32769,21,6,2713877091499598410272992087321302579217330411498697524979819042101904015361
32769,0,32769,4,0,0
32769,0,32769,91,6,0
32769,0,32769,0,0,0
32768,18442,32769,24,6,70
32769,9221,32769,5191102242953854976,0,0
32769,4610,32769,0,6,0
32769,2305,32769,0,0,0
32764,1152,32769,69,6,630
32769,576,32769,30,0,0
32769,288,32769,91,6,0
32769,144,32769,0,0,0
32767,72,32769,70,6,70
32769,36,32769,21,0,0
32769,18,32769,0,6,0
32769,9,32769,0,0,0
32769,4,32769,66,6,21
32769,2,32769,21,0,0
32769,1,32769,91,6,0
32769,0,32769,0,0,0
32768,18474,32769,25,6,71
32769,9237,32769,5200109442208333824,0,0
32769,4618,32769,0,6,0
32769,2309,32769,0,0,0
32764,1154,32769,65,6,273
32769,577,32769,13,0,0
32769,288,32769,91,6,0
32769,144,32769,0,0,0
32763,72,32769,71,6,70
32769,36,32769,34,0,0
32769,18,32769,0,6,0
32769,9,32769,0,0,0
32769,4,32769,66,6,34
32769,2,32769,21,0,0
32769,1,32769,91,6,0
32769,0,32769,0,0,0
32768,18470,32769,26,6,72
32769,9235,32769,5198983563776458752,0,0
32769,4617,32769,0,6,0
32769,2308,32769,0,0,0
32769,1154,32769,67,6,3618502788666131213697322783095070105623107215331596699973092056135872020477
32769,577,32769,4,0,0
32769,288,32769,91,6,0
32769,144,32769,0,0,0
32765,72,32769,72,6,70
32769,36,32769,3,0,0
32769,18,32769,0,6,0
32769,9,32769,0,0,0
32769,4,32769,27,6,3
32769,2,32769,3618502788666131213697322783095070105623107215331596699973092056135872020480,0,0
32769,1,32769,91,6,0
32769,0,32769,0,0,0
32768,4356,32769,28,6,73
32769,2178,32769,1226245742482522112,0,0
32769,1089,32769,0,6,0
32769,544,32769,0,0,0
32769,272,32769,74,6,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32769,30,0,0
32769,68,32769,91,6,0
32769,34,32769,0,0,0
32769,17,32769,73,6,70
32769,8,32769,70,0,0
32769,4,32769,0,6,0
32769,2,32769,0,0,0
32769,1,32769,29,6,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32769,3618502788666131213697322783095070105623107215331596699973092056135872020473,0,0
32769,0,32769,91,6,0
32769,0,32769,0,0,0
32765,519,32769,20,6,75
32769,259,32769,146226256843603965,0,0
32769,129,32769,0,6,3
32769,64,32769,0,0,0
32769,32,32769,74,6,120
32769,16,32769,30,0,0
32769,8,32769,91,6,0
32769,4,32769,0,0,0
32767,2,32769,72,6,75
32769,1,32769,3,0,0
32769,0,32769,0,6,1
32769,0,32769,0,0,0
32769,0,32769,21,6,1206167596222043737899107594365023368541035738443865566657697352045290673494
32769,0,32769,4,0,0
32769,0,32769,91,6,0
32769,0,32769,0,0,0
32768,18442,32769,24,6,75
32769,9221,32769,5191102242953854976,0,0
32769,4610,32769,0,6,0
32769,2305,32769,0,0,0
32764,1152,32769,74,7,1020
32769,576,32769,30,290341444919459839,0
32769,288,32769,91,7,0
32769,144,32769,0,290341444919459839,0
32767,72,32769,75,8,75
32769,36,32769,34,0,0
32769,18,32769,0,8,0
32769,9,32769,0,0,0
32769,4,32769,71,9,34
32769,2,32769,34,5189976364521848832,0
32769,1,32769,91,9,0
32769,0,32769,0,5189976364521848832,0
32768,18474,32769,25,10,76
32769,9237,32769,5200109442208333824,1,0
32769,4618,32769,0,10,0
32769,2309,32769,0,1,0
32764,1154,32769,70,11,714
32769,577,32769,21,5189976364521848832,0
32769,288,32769,91,11,0
32769,144,32769,0,5189976364521848832,0
32763,72,32769,76,12,75
32769,36,32769,55,1,0
32769,18,32769,0,12,0
32769,9,32769,0,1,0
32769,4,32769,71,13,55
32769,2,32769,34,5189976364521848832,0
32769,1,32769,91,13,0
32769,0,32769,0,5189976364521848832,0
32768,18470,32769,26,14,77
32769,9235,32769,5198983563776458752,10,0
32769,4617,32769,0,14,0
32769,2308,32769,0,10,0
32769,1154,32769,72,15,3618502788666131213697322783095070105623107215331596699973092056135872020478
32769,577,32769,3,1226245742482522112,0
32769,288,32769,91,15,0
32769,144,32769,0,1226245742482522112,0
32765,72,32769,77,16,75
32769,36,32769,2,5,0
32769,18,32769,0,16,0
32769,9,32769,0,5,0
32769,4,32769,27,17,2
32769,2,32769,3618502788666131213697322783095070105623107215331596699973092056135872020480,4613515612218425343,0
32769,1,32769,91,17,0
32769,0,32769,0,4613515612218425343,0
32768,4356,32769,28,18,78
32769,2178,32769,1226245742482522112,144,0
32769,1089,32769,0,18,0
32769,544,32769,0,144,0
32769,272,32769,79,19,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32769,30,2345108766317314046,0
32769,68,32769,91,19,0
32769,34,32769,0,2345108766317314046,0
32769,17,32769,78,20,75
32769,8,32769,75,146226256843603965,0
32769,4,32769,0,20,0
32769,2,32769,0,146226256843603965,0
32769,1,32769,29,20,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32769,3618502788666131213697322783095070105623107215331596699973092056135872020473,146226256843603965,0
32769,0,32769,91,20,0
32769,0,32769,0,146226256843603965,0
32765,519,32769,20,20,80
32769,259,32769,146226256843603965,146226256843603965,0
32769,129,32769,0,20,2
32769,64,32769,0,146226256843603965,0
32769,32,32769,79,20,120
32769,16,32769,30,146226256843603965,0
32769,8,32769,91,20,0
32769,4,32769,0,146226256843603965,0
32767,2,32769,77,20,80
